episode 259, steps 1001, avg_score : 29.435999342054128
episode 260, steps 1001, avg_score : 28.70849935831502
episode 261, steps 1001, avg_score : 30.625499315466733
episode 262, steps 1001, avg_score : 31.082499305251986
episode 263, steps 1001, avg_score : 28.828999355621637
episode 264, steps 1001, avg_score : 28.64049935983494
episode 265, steps 1001, avg_score : 27.40299938749522
episode 266, steps 1001, avg_score : 29.212499347049743
episode 267, steps 1001, avg_score : 29.631999337673186
episode 268, steps 1001, avg_score : 26.38349941028282
episode 269, steps 1001, avg_score : 28.64049935983494
episode 270, steps 1001, avg_score : 28.98949935203418
episode 271, steps 1001, avg_score : 30.410499320272358
episode 272, steps 1001, avg_score : 28.844499355275182
episode 273, steps 1001, avg_score : 26.28899941239506
episode 274, steps 1001, avg_score : 26.19949941439554
episode 275, steps 1001, avg_score : 28.695999358594417
episode 276, steps 1001, avg_score : 25.84099942240864
episode 277, steps 1001, avg_score : 25.860999421961605
episode 278, steps 1001, avg_score : 27.38499938789755
episode 279, steps 1001, avg_score : 27.100499394256623
episode 280, steps 1001, avg_score : 28.69249935867265
episode 281, steps 1001, avg_score : 28.390999365411698
episode 282, steps 1001, avg_score : 26.983499396871775
episode 283, steps 1001, avg_score : 24.53649945156649
episode 284, steps 1001, avg_score : 28.356499366182835
episode 285, steps 1001, avg_score : 29.228499346692114
episode 286, steps 1001, avg_score : 27.558499384019523
episode 287, steps 1001, avg_score : 29.78249933430925
episode 288, steps 1001, avg_score : 28.065499372687192
episode 289, steps 1001, avg_score : 25.483999430388213
episode 290, steps 1001, avg_score : 25.5624994286336
episode 291, steps 1001, avg_score : 26.969999397173524
episode 292, steps 1001, avg_score : 25.22549943616614
episode 293, steps 1001, avg_score : 25.554499428812413
episode 294, steps 1001, avg_score : 25.303999434411526
episode 295, steps 1001, avg_score : 25.872999421693386
episode 296, steps 1001, avg_score : 23.033499485161155
episode 297, steps 1001, avg_score : 23.70849947007373
episode 298, steps 1001, avg_score : 22.138499505165964
episode 299, steps 1001, avg_score : 21.605999517068266
